Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
int,int_26_trace,197.17267227172852,Pass,211.62388277053833,40000052,6814823,5.8696,2130479,53501,0.3126,0.0079,2.5112%,1.3375,1800075,33.6456,45.0018,20000052,3195027,6.2597,1067816,24678,0.3342,0.0077,2.3111%,1.2339,851771,34.5154,42.5884
int,int_16_trace,128.2670030593872,Pass,211.87427616119385,40000031,19002465,2.1050,6733574,325011,0.3544,0.0171,4.8267%,8.1253,7284591,22.4134,182.1146,20000031,8150209,2.4539,3364149,168450,0.4128,0.0207,5.0072%,8.4225,3622888,21.5072,181.1441
int,int_3_trace,96.88034057617188,Pass,213.9132583141327,40000052,7066304,5.6607,4722773,35272,0.6684,0.0050,0.7468%,0.8818,1008519,28.5926,25.2129,20000052,3575747,5.5933,2249610,19797,0.6291,0.0055,0.8800%,0.9898,495526,25.0304,24.7762
int,int_13_trace,32.30572509765625,Pass,187.12533020973206,40000052,6237898,6.4124,4243961,36991,0.6804,0.0059,0.8716%,0.9248,1064785,28.7850,26.6196,20000052,3060787,6.5343,2111572,17419,0.6899,0.0057,0.8249%,0.8709,517035,29.6822,25.8517
int,int_4_trace,188.2430238723755,Pass,320.44186902046204,59999657,14323571,4.1889,7683892,269451,0.5365,0.0188,3.5067%,4.4909,5832352,21.6453,97.2064,30999657,7249377,4.2762,4061423,139802,0.5602,0.0193,3.4422%,4.5098,2988178,21.3744,96.3939
int,int_7_trace,128.17397212982178,Pass,212.05250144004822,40000048,14767692,2.7086,5944145,231366,0.4025,0.0157,3.8923%,5.7841,5345953,23.1060,133.6487,20000048,6340330,3.1544,3000751,112693,0.4733,0.0178,3.7555%,5.6346,2492465,22.1173,124.6230
int,int_25_trace,169.04896354675293,Pass,214.21439290046692,40000052,7679597,5.2086,2766410,52875,0.3602,0.0069,1.9113%,1.3219,1993981,37.7112,49.8495,20000052,4234103,4.7236,1541724,45827,0.3641,0.0108,2.9725%,2.2913,1523515,33.2449,76.1756
int,int_10_trace,204.85591316223145,Pass,328.55671525001526,60000052,9673683,6.2024,7032592,32181,0.7270,0.0033,0.4576%,0.5363,877935,27.2812,14.6322,30000052,4472195,6.7081,3499163,15363,0.7824,0.0034,0.4390%,0.5121,353287,22.9960,11.7762
int,int_19_trace,184.28955841064453,Pass,221.72370719909668,40000052,8021952,4.9863,5852871,33928,0.7296,0.0042,0.5797%,0.8482,1436022,42.3256,35.9005,20000052,3785747,5.2830,2929049,13244,0.7737,0.0035,0.4522%,0.6622,604591,45.6502,30.2295
int,int_18_trace,108.31880569458008,Pass,250.8921513557434,39999864,10817320,3.6978,9457814,33892,0.8743,0.0031,0.3583%,0.8473,1507813,44.4888,37.6955,20999864,5168628,4.0629,4985263,14721,0.9645,0.0028,0.2953%,0.7010,599722,40.7392,28.5584
int,int_15_trace,98.1560001373291,Pass,370.01395988464355,70000157,18505236,3.7827,9192864,33514,0.4968,0.0018,0.3646%,0.4788,1848008,55.1414,26.4001,35000157,9308065,3.7602,4669511,31756,0.5017,0.0034,0.6801%,0.9073,1472674,46.3747,42.0762
int,int_36_trace,201.8018684387207,Pass,305.5400240421295,53761949,35593655,1.5104,7755130,214325,0.2179,0.0060,2.7637%,3.9866,9800648,45.7280,182.2971,27761949,15421201,1.8002,4116890,105764,0.2670,0.0069,2.5690%,3.8097,4384829,41.4586,157.9438
int,int_23_trace,182.35865116119385,Pass,229.5206413269043,40000052,18507313,2.1613,5329093,139295,0.2879,0.0075,2.6139%,3.4824,6336006,45.4862,158.3999,20000052,8603665,2.3246,2669216,67286,0.3102,0.0078,2.5208%,3.3643,2704024,40.1870,135.2008
int,int_9_trace,152.5840139389038,Pass,210.84455561637878,40000050,14337244,2.7899,5800876,193968,0.4046,0.0135,3.3438%,4.8492,4529237,23.3504,113.2308,20000050,6018640,3.3230,2893544,92238,0.4808,0.0153,3.1877%,4.6119,2097443,22.7395,104.8719
int,int_1_trace,92.84952068328857,Pass,163.0704324245453,30000052,17880135,1.6778,5301134,290745,0.2965,0.0163,5.4846%,9.6915,13994601,48.1336,466.4859,15000052,8517894,1.7610,2642836,144718,0.3103,0.0170,5.4759%,9.6478,6599792,45.6045,439.9846
int,int_28_trace,185.9219560623169,Pass,186.40470576286316,40000052,8459793,4.7283,4006233,146982,0.4736,0.0174,3.6688%,3.6745,3712007,25.2548,92.8001,20000052,4108393,4.8681,1994428,68750,0.4855,0.0167,3.4471%,3.4375,1767462,25.7085,88.3729
int,int_5_trace,138.47165870666504,Pass,201.08474349975586,30000052,6651431,4.5103,2565027,85651,0.3856,0.0129,3.3392%,2.8550,3097648,36.1659,103.2548,15000052,3316396,4.5230,1297750,42168,0.3913,0.0127,3.2493%,2.8112,1554099,36.8549,103.6062
int,int_29_trace,181.88746547698975,Pass,201.16274285316467,40000052,15947937,2.5082,4048870,497735,0.2539,0.0312,12.2932%,12.4434,12098881,24.3079,302.4716,20000052,7721666,2.5901,2031315,242159,0.2631,0.0314,11.9213%,12.1079,5829545,24.0732,291.4765
int,int_20_trace,187.00185585021973,Pass,323.8064215183258,60000051,17358800,3.4565,9561405,168424,0.5508,0.0097,1.7615%,2.8071,5329664,31.6443,88.8277,30000051,7212179,4.1596,4877083,81526,0.6762,0.0113,1.6716%,2.7175,2271938,27.8676,75.7311
int,int_8_trace,137.59827327728271,Pass,212.4705512523651,40000052,16321171,2.4508,5678944,287352,0.3479,0.0176,5.0600%,7.1838,6632710,23.0822,165.8175,20000052,6562325,3.0477,2813189,132102,0.4287,0.0201,4.6958%,6.6051,2955689,22.3743,147.7841
int,int_30_trace,182.9177484512329,Pass,200.27570104599,40000052,16290514,2.4554,4219863,516930,0.2590,0.0317,12.2499%,12.9232,12392289,23.9729,309.8068,20000052,7918221,2.5258,2099953,251176,0.2652,0.0317,11.9610%,12.5588,5998935,23.8834,299.9460
int,int_17_trace,128.60758018493652,Pass,210.2273998260498,39999987,16617321,2.4071,6659971,255689,0.4008,0.0154,3.8392%,6.3922,5851992,22.8871,146.2998,20999987,6685149,3.1413,3432362,119696,0.5134,0.0179,3.4873%,5.6998,2624302,21.9247,124.9668
int,int_24_trace,145.24023818969727,Pass,276.0557236671448,40000051,14575551,2.7443,8385203,22650,0.5753,0.0016,0.2701%,0.5662,2691771,118.8420,67.2942,20000051,6920939,2.8898,4599578,9644,0.6646,0.0014,0.2097%,0.4822,1171876,121.5135,58.5937
int,int_11_trace,203.19092559814453,Pass,296.9519567489624,60000052,16565909,3.6219,4130584,252356,0.2493,0.0152,6.1095%,4.2059,9158351,36.2914,152.6391,30000052,8289301,3.6191,2064453,127619,0.2491,0.0154,6.1817%,4.2540,4627734,36.2621,154.2575
int,int_34_trace,112.3776216506958,Pass,184.34309005737305,40000052,11174604,3.5795,6380286,122813,0.5710,0.0110,1.9249%,3.0703,5660656,46.0917,141.5162,20000052,4948130,4.0419,3101677,63963,0.6268,0.0129,2.0622%,3.1981,2552654,39.9083,127.6324
infra,infra_9_trace,141.69822597503662,Pass,255.67150020599365,50000052,29347294,1.7037,7203244,233038,0.2454,0.0079,3.2352%,4.6608,19805952,84.9902,396.1186,25000052,17326835,1.4429,3405201,173994,0.1965,0.0100,5.1097%,6.9597,14719426,84.5973,588.7758
infra,infra_0_trace,94.09143447875977,Pass,226.99459767341614,40000016,8849295,4.5201,5140781,51328,0.5809,0.0058,0.9984%,1.2832,1491214,29.0526,37.2803,20000016,4402530,4.5428,2582400,26487,0.5866,0.0060,1.0257%,1.3243,792356,29.9149,39.6178
infra,infra_2_trace,221.61112022399902,Pass,326.2025487422943,47546686,10634682,4.4709,5818731,23002,0.5471,0.0022,0.3953%,0.4838,717115,31.1762,15.0823,24546686,4321917,5.6796,2997214,7812,0.6935,0.0018,0.2606%,0.3183,149172,19.0952,6.0771
infra,infra_5_trace,58.871103286743164,Pass,258.2967174053192,40000016,34999547,1.1429,7268207,94340,0.2077,0.0027,1.2980%,2.3585,26851863,284.6286,671.2963,20000016,22665320,0.8824,3539219,68954,0.1562,0.0030,1.9483%,3.4477,18859975,273.5153,942.9980
infra,infra_4_trace,84.87091732025146,Pass,221.09559965133667,40000016,23955251,1.6698,5988066,99161,0.2500,0.0041,1.6560%,2.4790,12293775,123.9779,307.3443,20000016,11990897,1.6679,2971304,50133,0.2478,0.0042,1.6872%,2.5066,6181793,123.3079,309.0894
infra,infra_11_trace,209.36411476135254,Pass,266.66482615470886,50000052,18368522,2.7221,7754708,54425,0.4222,0.0030,0.7018%,1.0885,3986008,73.2385,79.7201,25000052,9234904,2.7071,3881908,25615,0.4204,0.0028,0.6599%,1.0246,2261456,88.2864,90.4581
infra,infra_14_trace,118.4549331665039,Pass,167.42033553123474,50000052,17941983,2.7868,6536492,270164,0.3643,0.0151,4.1332%,5.4033,12841347,47.5317,256.8267,25000052,6331169,3.9487,3156210,119003,0.4985,0.0188,3.7704%,4.7601,4084844,34.3256,163.3934
infra,infra_12_trace,207.57365608215332,Pass,266.4871299266815,50000052,17565210,2.8465,7862103,53529,0.4476,0.0030,0.6808%,1.0706,3487507,65.1517,69.7501,25000052,8359221,2.9907,3927069,25077,0.4698,0.0030,0.6386%,1.0031,1708176,68.1172,68.3269
infra,infra_15_trace,101.22027969360352,Pass,189.7285590171814,50000052,34806779,1.4365,6957507,429486,0.1999,0.0123,6.1730%,8.5897,30281473,70.5063,605.6288,25000052,6596245,3.7900,3466846,150973,0.5256,0.0229,4.3548%,6.0389,4317498,28.5978,172.6996
infra,infra_1_trace,175.13615703582764,Pass,205.10722160339355,37799521,8188465,4.6162,4337669,13509,0.5297,0.0016,0.3114%,0.3574,590756,43.7306,15.6287,19799521,3728024,5.3110,2263258,3789,0.6071,0.0010,0.1674%,0.1914,124839,32.9477,6.3052
infra,infra_7_trace,65.31903553009033,Pass,210.53182220458984,40000016,21860677,1.8298,6716982,59934,0.3073,0.0027,0.8923%,1.4983,8235878,137.4158,205.8969,20000016,11200946,1.7856,3345402,16963,0.2987,0.0015,0.5071%,0.8481,3454195,203.6311,172.7096
infra,infra_13_trace,139.63556957244873,Pass,242.0259165763855,50000052,20549472,2.4332,6532412,212019,0.3179,0.0103,3.2456%,4.2404,13758418,64.8924,275.1681,25000052,9708960,2.5749,3378036,87032,0.3479,0.0090,2.5764%,3.4813,5209454,59.8568,208.3777
infra,infra_8_trace,54.09443473815918,Pass,199.12230968475342,40000016,24567609,1.6282,7460282,50271,0.3037,0.0020,0.6738%,1.2568,15877935,315.8468,396.9482,20000016,12253991,1.6321,3730712,24949,0.3044,0.0020,0.6687%,1.2474,7903200,316.7742,395.1597
infra,infra_10_trace,117.67702960968018,Pass,229.88878536224365,50000052,18421599,2.7142,6548159,267715,0.3555,0.0145,4.0884%,5.3543,13142609,49.0918,262.8519,25000052,6360933,3.9302,3150015,119998,0.4952,0.0189,3.8094%,4.7999,4108841,34.2409,164.3533
infra,infra_3_trace,83.57435989379883,Pass,130.33312153816223,40000016,8067704,4.9580,5433078,42530,0.6734,0.0053,0.7828%,1.0632,1096864,25.7904,27.4216,20000016,4001584,4.9980,2737308,19736,0.6841,0.0049,0.7210%,0.9868,519607,26.3279,25.9803
infra,infra_6_trace,168.09687328338623,Pass,346.6888515949249,64718349,15426099,4.1954,9187928,85549,0.5956,0.0055,0.9311%,1.3219,3389969,39.6261,52.3803,32718349,7772351,4.2096,5004718,43029,0.6439,0.0055,0.8598%,1.3151,2016285,46.8587,61.6255
compress,compress_2_trace,111.43396472930908,Pass,96.19891929626465,32339109,6640048,4.8703,3601347,47947,0.5424,0.0072,1.3314%,1.4826,1249070,26.0511,38.6241,16339109,3022431,5.4059,1821008,26750,0.6025,0.0089,1.4690%,1.6372,607898,22.7252,37.2051
compress,compress_5_trace,111.82196044921875,Pass,185.49912524223328,33811883,6992420,4.8355,3890650,65333,0.5564,0.0093,1.6792%,1.9322,1686291,25.8107,49.8727,17811883,3235970,5.5043,2056891,30563,0.6356,0.0094,1.4859%,1.7159,762986,24.9644,42.8358
compress,compress_4_trace,108.21294689178467,Pass,150.29985642433167,31160801,6579572,4.7360,3496423,56800,0.5314,0.0086,1.6245%,1.8228,1464029,25.7752,46.9830,16160801,3013419,5.3629,1816226,27296,0.6027,0.0091,1.5029%,1.6890,656439,24.0489,40.6192
compress,compress_3_trace,334.29114055633545,Pass,462.95734119415283,130000020,59797903,2.1740,15702832,1072481,0.2626,0.0179,6.8299%,8.2499,47852890,44.6189,368.0991,65000020,26395152,2.4626,7896218,503310,0.2992,0.0191,6.3741%,7.7432,20082897,39.9016,308.9676
compress,compress_6_trace,111.95520496368408,Pass,94.15673542022705,33826271,7007211,4.8274,3887104,64391,0.5547,0.0092,1.6565%,1.9036,1660044,25.7807,49.0756,17826271,3240630,5.5009,2060235,30198,0.6358,0.0093,1.4658%,1.6940,749527,24.8204,42.0462
compress,compress_7_trace,399.4104585647583,Pass,476.51623582839966,130000052,24004499,5.4157,15042451,266242,0.6267,0.0111,1.7699%,2.0480,6720282,25.2413,51.6945,65000052,12279523,5.2934,7447474,164892,0.6065,0.0134,2.2141%,2.5368,3869157,23.4648,59.5254
compress,compress_0_trace,334.9084711074829,Pass,274.99254870414734,120000052,25483005,4.7090,11747875,392169,0.4610,0.0154,3.3382%,3.2681,13900999,35.4465,115.8416,60000052,11929200,5.0297,5895554,196273,0.4942,0.0165,3.3292%,3.2712,6419055,32.7047,106.9842
compress,compress_1_trace,108.6102991104126,Pass,123.74516797065735,30778699,6554021,4.6962,3314657,51812,0.5057,0.0079,1.5631%,1.6834,1309988,25.2835,42.5615,15778699,3012044,5.2385,1700956,28933,0.5647,0.0096,1.7010%,1.8337,631753,21.8350,40.0383
